,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
75,Forum Storyworld,2023,Worlds of Rhemrev,"Worlds of Rhemrev
Not everyone knows that Edwin Rhemrev from Voorburg has worked on famous titles such as Minions 2: Rise of the Gru (2022), Over the Moon (2020), My Little Pony (2020), The Grinch (2018) and Despicable Me 3 (2017). As a visual development artist he created landscapes, buildings, flying machines such as a rocket with bunnyears, and much more. ",2023.3-2023.7
76,Forum Storyworld,2023,The Legend of Zelda,"From November 4, 2023 through February 25, 2024, Storyworld turns the spotlight on The Legend of Zelda, the Nintendo game series that has been immensely popular since the 1980s. To this day, millions of gamers immerse themselves in the fascinating world of the heroic swordsman Link, the great villain Ganon and, of course, Princess Zelda. In the museum's Spotlight Room, discover the story behind the Zelda games and see how one Japanese boy's outdoor adventures transformed into one of the world's most influential games.

A true legend in the gaming world
On Feb. 21, 1986, The Legend of Zelda was released in Japan on Nintendo's Famicom (Family Computer). Zelda grew out of the ideas, experiences and fantasies of Shigeru Miyamoto, who is considered the spiritual father of the series. Almost every Zelda game innovated in one way or another. The first game (1986) proved that great open world games were possible, and later Ocarina of Time (1998) became a forerunner in 3D gaming. Consequently, many gamers consider the Zelda games to be the best game series to date.

Zelda, Link, Ganon, Gorons and Zoras
The Zelda games revolve around the young hero Link (the playable character), Princess Zelda and Ganon(dorf), the king of the Gerudo and a pig-like monster. With Link, the player explores the world, solves puzzles in large dungeons and collects more and more equipment to eventually save the princess and defeat Ganon. Most of the games in the series are set in and around the kingdom of Hyrule, a fantasy world inspired by the Western European Middle Ages. Hyrule is filled with elf-like Hylians, Gorons rolling around in the mountains and Zoras, water creatures swimming through the lakes.

Storyworld Spotlight: The Legend of Zelda
In the Spotlight exhibit, discover more about the origins and development of the game: from The Legend of Zelda (1986) to the recent Tears of the Kingdom (2023). You can also admire artwork from the series over the past three decades: from images from the first, pixelated volumes to wall-sized illustrations created for most recent games. You will also see interviews with the creators and replicas of weapons and other items from the games. To complement the exhibition, public activities include a Zelda sword 3D printing workshop and a lecture by Willem Hilhorst of Beeld & Geluid on the special link between Zelda and the Netherlands.

Storyworld can be found on the sixth floor of Forum Groningen. A ticket to Storyworld gives free admission to the mini-exhibition in the Spotlight area.",2023.11-2024.2
77,Forum Storyworld,2024,50 Years of Franka,"Franka is one of the most popular Dutch comics. She also enjoys great international acclaim. Her stories have now been translated into French, German, Spanish, Danish, Swedish, Norwegian, Galician, Catalan and Chinese. This year marks the 50th anniversary of the red-haired and enterprising protagonist's first adventure. To celebrate, from March 2 through June 30, 2024, the Spotlight Room at Museum Storyworld will be dedicated to this iconic comic book hero.

Storyworld Spotlight: 50 years of Franka
The Spotlight exhibition shows how this iconic Dutch comic has evolved over the years. In addition to hand inked comic pages and pencil sketches by Henk Kuijpers, you will see how this creator goes about his work. For Franka, he does extensive research and often personally visits the locations in the stories to take pictures and drawings. As a visitor to the exhibition, you can also work on making yourself aware of this process.

From supporting role to leading role 
In 1974 Henk Kuipers (Haarlem, 1946) made a short comic strip for the then immensely popular comic magazine Pep. Men play the leading roles in the strip, but somewhere in a corner of the first page a special script girl is depicted; a girl who sees to it that the film script is followed precisely. The editors of Pep are enthusiastic, and Kuijpers is hired to produce short stories and illustrations. Soon Franka gets the lead role and grows into the first independent female comic book hero of Dutch soil. Franka is smart, savvy, self-aware, independent and headstrong. Eventually, the scriptgirl earns her own business together as an art detective and travels the world.

Storyworld Spotlight: 50 Years of Franka can be visited from March 2 through June 30, 2024 at comic book, animation and game museum Storyworld in Forum Groningen",2024.3-2024.6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
