Unnamed: 0,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
10.0,Groninger Museum,2019.0,In Wall House #2: Gunta Stölzl - 100 Years of Bauhaus Textiles,the bauhaus the legendary german design and architecture school was founded a century ago this year wall house 2 honoured gunta stölzl 1897–1983 who won renown as the head of the institution’s textile department with an intimate exhibition gunta stölzl 100 years of bauhaus textiles offered a look at stölzl’s life and legacy through items such as pattern cards original fabrics bauhaus designs and upholstered furniture,2019.3-2019.9
11.0,Groninger Museum,2019.0,Struggle! 100 Years of Women’s Suffrage.,"in 2019 the netherlands celebrated 100 years of universal voting rights the groninger museum payed homage to this historic occasion with struggle 100 years of women’s suffrage the exhibition illustrated how years of activism ultimately resulted in victory for the women’s suffrage movement in the netherlands in 1919 a new law decreed both men and women had the right to vote

exhibition
the groninger museum presented a detailed overview of the turbulent history of the struggle for women’s suffrage in the netherlands in which doctor aletta jacobs from groningen played a prominent role the exhibition showed the broad support the movement enjoyed throughout this country after the women’s suffrage association was founded in 1894 active chapters sprang up in even the smallest villages the movement was not just a local phenomenon but a worldwide one and dutch activists were important partners in the international struggle the show surveys the numerous developments around women’s suffrage over the years and demonstrates how the fight for gender equality continues today

through banners photographs cartoons paintings and historical documents struggle 100 years of women’s suffrage illustrated how the activists fought for their cause one highlight of the exhibition was a 1911 banner of the international woman suffrage alliance made by the famous stockholm textile association handarbetets vänner another was the article amending the law on loan from the national archives of the netherlands

events
around the country a comprehensive programme of events highlighting history art theatre scholarship and activism celebrated 100 years of women’s suffrage in the netherlands groningen servedas the centre of the festivities on 9 may 2019 the 100th anniversary of the house of representatives’ passing of the amendment a lavish celebration featuring talks film theatre and music took place at the groninger museum

curators
the exhibition was curated by mineke bosch professor of modern history at the university of groningen and egge knol history curator at the groninger museum a richly illustrated book written by bosch to accompany the exhibition was published on 9 may 2019",2019.4-2019.9
12.0,Groninger Museum,2019.0,From Swip Stolk to Rudo Menge,to mark the silver anniversary of the “new” groninger museum the museum showcased some of the most remarkable posters made for it between 1994 and 2019 the show illustrated 25 years of exhibitions and museum history the story starred two main actors the designers swip stolk 19442019 and rudo menge b 1975 woerden each has played a crucial part in developing the groninger museum’s visual identity over the past quarter century,2019.5-2019.9
13.0,Groninger Museum,2019.0,Dolf Verlinden,where exactly does a work of art end how does it relate to the space around it and how can you connect mathematical forms and principles to intuition and feeling the artist dolf verlinden b 1960 schiedam attempts to answer these questions his quest is expressed in abstract paintings assemblages printwork and other art forms this exhibition showcased a selection of recent work,2019.4-2019.9
14.0,Groninger Museum,2019.0,CHIHULY,"an exhibition of sensational glass creations by worldrenowned american artist dale chihuly was on display in the groninger museum comprising 16 installations the exhibition providds a comprehensive overview of the artist’s body of work it was specially curated for the museum in partnership with the seattlebased chihuly studio and was the artist’s largest european museum show in the last 20 years showing work created throughout chihuly’s fivedecade career in both indoor and outdoor settings highlights of the multimedia exhibition included the artist’s most recent works rotolo and glass on glass along with his innovative baskets dramatic installations of neon fiori and icicles and demonstrations of creative communicationstyle

about dale chihuly
dale chihuly b 1941 tacoma washington is known for revolutionizing the studio glass movement and elevating perceptions of glass over his 50year career he has become known for his iconic sculptures in glass a medium that appeals to him because it is one of the few materials that transmits light durable yet fragile and breakable glass continues to challenge chihuly as he keeps pushing the material’s boundaries with regard to shape and scale glass however is just one of the mediums he employs to realise his vision he also draws and paints and has created largescale installations with materials including neon ice and polyvitro – a plastic material with similar visual properties to glass

outdoor displays
works were not only on view inside but outside the groninger museum building as well two works were displayed outdoors red reeds 2010 containing stalks stretching up to three meters high that are composed of red glass blown in finland and neon 206 2017 glass tubes in angular forms that were filled with neon and argon gasses and charged with electricity

series
the exhibition also contained works from series such as venetians 19882006 a fusion of american exuberance and italian bravura in glass cylinders 20062016 glass works adorned with intricate glassthread drawings inspired and accompanied by chihuly’s collection of native american textiles and rotolo 20152018 one of chihuly’s most technically challenging series consisting of sculptures of which the heaviest in the exhibition contains 43 kilos of glass

special design for groninger museum
furthermore chihuly presented a new installation specially designed for the exhibition in the groninger museum grand stairwell installation 2018 it included the largest persians – a series of irregularly shaped and boldly coloured forms – ever made 14 meters in diameter

fax wall
chihuly not only gave an overview of the artist’s impressive oeuvre but offered insight into his creative process and communication style too the exhibition for example included fax wall an installation consisting of letters written by the artist that were originally shared with his team via facsimile machines rarely seen in public the faxes contained personal messages artwork sketches plans for exhibitions installations and more

royal touch
the exhibition at the groninger museum also had a royal touch in 1997 then us president bill clinton and his wife hillary visited the hague to celebrate the 50th jubilee of the marshall plan on this occasion bill clinton presented then queen of the netherlands beatrix with a special gift bottle green seaform with marigold lip wrap 1997 made by dale chihuly this green wavy shellshaped sculpture is part of the royal collections of the netherlands in the hague and was the only nonamerican loan in the exhibition other works from the seaform series – sculptures that evoke sea life – were displayed as well

previous exhibitions
chihuly is known for his ambitious architectural installations around the world in historic cities museums and gardens his work is included in more than 200 museum collections worldwide at institutions including metropolitan museum of art in new york smithsonian american art museum in washington dc and corning museum of glass in corning new york major exhibitions include chihuly over venice 1995–1996 chihuly in the light of jerusalem 1999 and shows at de young museum in san francisco 2008 museum of fine arts boston 2011 virginia museum of fine arts 2012 montreal museum of fine arts 2013 royal ontario museum in toronto 2016 and crystal bridges museum of american art in bentonville arkansas 2017 in addition chihuly garden and glass a longterm exhibition located at the seattle center opened in 2012",2018.12-2019.5
15.0,Groninger Museum,2019.0,DVOTION,the dutch music photographer claude vanheye is renowned for his iconic images of david bowie michael jackson jimi hendrix and countless other stars in recent years he has snapped famous djs including armin van buuren hardwell martin garrix fedde le grand and nicky romero the tranquil shots in this arresting series call to mind renaissance portraits they were on show here till march 24 2019 for the first time as part of the eurosonic noorderslag festival,2019.1-2019.3
16.0,Groninger Museum,2019.0,Grrr! A beastly exhibition,large animals and small ones imaginary beasts and creepycrawlies a headless chicken and a blue dog – all of them were on display this exhibition of works from the museum’s collection the animals had been sheltering in the depot and were let loose specially for this exhibition there were touching dog portraits by the groningen painter otto eerelman cows from the hague school and japanese prints showing horses on the battlefield some of the animals carry symbolic meaning others appear to have been portrayed simply for their beauty,2018.11-2019.3
17.0,Groninger Museum,2019.0,The World at Home: Asian porcelain and Delft pottery,"the world at home
in the 17th and 18th centuries dutch interiors were enriched by asian influences the dutch east india company and individuals imported large quantities of chinese and japanese porcelain and lacquerwork from “the orient”

porcelain in particular found its way into every stratum of society even the poorest household was likely to own a plate or a teacup and saucer from china before long asian porcelain had become part of dutch everyday life and material culture its popularity soon gave rise to imitations

this exhibition showed how asian and dutch producers responded to public interest and buyers’ tastes and how they competed with each other",2017.6-2019.3
18.0,Groninger Museum,2019.0,Portrait of Abel Tasman in Groningen,"portrait of abel tasman in groningen
the only known portrait of the explorer abel tasman was on display in the groninger museum till sunday 6 january 2019
it was 375 years ago that tasman from the nearby village of lutjegast discovered the island that bears his name tasmania

jacob gerritsz cuyp painted the work in 1637 when tasman was a dutch east india company captain who had not yet become famous the portrait’s comes home to groningen province thanks to the support of the national gallery of australia in canberra the national library of australia in canberra the municipality of grootegast and singapore airlines",2018.6-2019.1
19.0,Groninger Museum,2019.0,From Courbet to Israels: a visit from Museum Gouda,"the arntzenius collection
the arntzenius collection at museum gouda boasts works by dutch and french painters such as willem bastiaan tholen odilon redon and isaac israëls they include sweeping cloudscapes colorful floral still lifes and street scenes and portraits that bring a bygone world to life amassed by the painter paul arntzenius 1883–1965 the collection was on temporary display at the groninger museum till 6 january 2019 the atmospheric sunset by charlesfranҫois daubigny 1817–1878 is a highlight

the groninger museum’s veendorp collection was on view at museum gouda over the same period",2018.6-2019.1
20.0,Groninger Museum,2019.0,Movements - De Ploeg after 1928,"movements  de ploeg after 1928
featuring work by artists including jan altink ekke kleima and jannes de vries this show complemented the survey exhibition and looked at how de ploeg’s members took part in modern art movements following the group’s peak after the painter jan wiegers befriended the german artist ernst ludwig kirchner in 1920 the group entered a period of rapid artistic development kirchner heavily influenced the emergence of the colourful groningen expressionist style though de ploeg’s avantgarde intensity ebbed after 1928 they had indeed ploughed fertile new ground

movements  de ploeg after 1928 was previously on show in the ploeg pavilion complementary to the exhibitionavantgarde in groningen",2018.5-2019.1
21.0,Groninger Museum,2020.0,What will the neighbours say?,"the groninger museum harbours an extensive unique collection of contemporary photography the exhibition what will the neighbours say showcases a wide selection of work by leading photographers from the netherlands and elsewhere from the last 50 years
the work on view ranges from diane arbus’s and larry clark’s 1970s documentary photography through anton corbijn’s and catherine opie’s portraits and inez van lamsweerde’s fashion work of the 1980s and 1990s to ruud van empel’s and david lachapelle’s staged scenes from the past decade

the photographs address themes such as diversity artificiality and identity and pose an overarching question why do we increasingly look at ourselves through the imaginary lens of another",2020.2-2020.10
22.0,Groninger Museum,2020.0,Printer in times of war - H.N. Werkman and de Blauwe Schuit,"patriotism perserverance and hope for a better future these are common themes in the prints of hn werkman for de blauwe schuit founded at the end of 1940 through prayers and psalms as well as texts from the jewish and yiddish and modern poetry the company reacts to the occupation

de blauwe schuit was founded by hendrik nicolaas werkman 18821945 pastor august henkels chemist ate zuithoff and high school teacher adri buning hendrik werkman was responsible for the typography and the colourful occasionally exuberant illustrations in all the publications for him and the other “schippers van de blauwe schuit” sailors of the blue barge the publications are an outlet of personal resistance during the dark days of war",2020.2-2020.10
23.0,Groninger Museum,2020.0,Willem Kolvoort - Posters for Vera,"this exhibition showcases the playful imaginative humorous screen prints of willem kolvoort the wellknown maker of posters for the groningen live music club vera in more than three decades of working with vera kolvoort has created more than 500 different posters his designs are often cheeky but also endearing thanks to kolvoort’s use of animal figures the show will open shortly before the next edition of the music festival eurosonic noorderslag

while many european pop venues use screenprinted posters to publicise events vera’s have been in a class of their own for years kolvoort’s are arguably the most characterful among them

the exhibition comprises 36 screen prints selected by the artist it will open on 10 january and run through 7 june 2020

book
a book will be published to coincide with the exhibition’s opening willem kolvoort – 30 jaar vera posters “willem kolvoort 30 years of vera posters” provides a full overview of all kolvoort’s posters for the venue it also contains essays by the music journalist peter van der heide and the writer bill mensema",2020.1-2020.9
24.0,Groninger Museum,2020.0,En tóch staat de Martini – 75 Years of Liberation in Groningen,"in april 1945 after five years of war in which many of groningen’s jewish residents were deported and murdered resistance fighters were imprisoned tortured and executed bombs devastated groningen and acute shortages took hold the german forces tenaciously defended the occupied city despite the superior strength of the canadian infantry it took three days of heavy fighting to break the opposition artillery bombardments and raging fires partly destroyed the grote markt and ruined streets and houses but groningen was free

the exhibition looks at the war but keeps the focus on liberation

the film accompanies the exhibition ‘en tóch staat de martini  75 years of liberation of groningen’ it tells the story of the war and liberation of groningen with quotes from warjournals and letters and it shows historical footage from the war",2020.3-2020.9
25.0,Groninger Museum,2020.0,In Wall House #2: The Art of Waste,"the art of waste
ten years ago the “waste artist” maria koijck literally launched one of her bestknown projects on the hoornsemeer lake near wall house 2 a threemetretall swan made from 15000 plastic bottles with the works in this exhibition she aims to expand awareness of how we deal with waste the creations also made from plastic bottles will be on view on the second storey of wall house 2

one floor below fascinating finds from the nearby friesche veen wetland await the educator and filmmaker nick landman discovered areas on the outskirts of groningen that had served as dumping grounds in the distant past he and the local historian beno hofman went in search of untold stories

work by the photographer caroline penris and the artist joukje pees will be on display in the building’s long hall",2020.6-2020.11
26.0,Groninger Museum,2021.0,Graffiti in New York,under former director frans haks the groninger museum was one of the first museums in the world to recognise graffiti and street art as legitimate art forms and to begin collecting them alongside jr chronicles two of the permanent collection galleries will be showcasing work by leading artists from the new york scene including noc 167 dondi blade quik and phase 2,2021.11-2022.10
27.0,Groninger Museum,2021.0,JR: Chronicles,"jr chronicles
the first major museum exhibition of the work of the french artist jr encompasses murals films and countless photographs it provides an overview of his career so far from documentation of graffiti artists he produced as a teenager in paris to his largescale interventions in cities worldwide to his recent digitally collaged murals that serve as collective portraits of diverse
publics this show is curated by the brooklyn museum in new york for the occasion the groninger museum will work with graffiti and street artists to create a series of portraits of local residents inside and outside the building part of the museum’s substantial street art collection will also be on display

jr chronicles
the first major museum exhibition of the work of the french artist jr encompasses murals films and countless photographs it provides an overview of his career so far from documentation of graffiti artists he produced as a teenager in paris to his largescale interventions in cities worldwide to his recent digitally collaged murals that serve as collective portraits of diverse publics

this show is curated by the brooklyn museum in new york for the occasion the groninger museum will work with graffiti and street artists to create a series of portraits of local residents inside and outside the building part of the museum’s substantial street art
collection will also be on display

over the past two decades jr has expanded the meaning of public art with his ambitious socially engaged projects as a photographer he brings visibility to a broad spectrum of people and communities all over the world and shines a light on their problems by focusing on these “invisible” people he creates a platform for their stories he reproduces their individual portraits at a monumental scale and wheatpastes them in public space sometimes illegally jr’s projects honour the voices of everyday people and demonstrate his commitment to community cooperation and dialogue

portrait of a generation
jr began his career in 2004 with the photo series portrait of a generation it came about after the film director ladj ly invited jr to cooperate on a project in the paris suburb of montfermeil where ly lived at the time the duo aimed to poke fun at the medias caricatured portrayal of young people in the banlieues in the photo ly appears to be pointing a gun at the viewer but on closer inspection it proves to be a camera when rioting broke out in the paris suburbs in 2005 following the death of two youths the photo was reproduced countless times in newspapers and on tv

kikito 2017
in response to the construction of a permanent wall between the united states and mexico jr created a massive installation in 2017 at the border fence in the mexican city of tecate it consists of an image of kikito a toddler whose home in tecate overlooks the wall lacking any awareness of politics the curious little boy peeks playfully over the barrier from his side the work symbolises the innocence of young immigrants the day before it was due to be dismantled jr organised a crossborder picnic kikito his family and hundreds of guests from the united states and mexico came together to share a meal gathered around a long table decorated with jr’s iconic eyes that extended across the fence they ate the same food drank the same water and listened to the same music the border patrol came to stop the project and threatened to arrest all the guests but when they saw the positive action with their own eyes they decided not to

women are heroes 2007present
for another project women are heroes jr travelled with his camera to shoot portraits of women in the slums of nairobi kenya monrovia liberia phnom penh cambodia rio de janeiro brazil and jaipur india the photographs emphasise the womens vitality not their poverty according to jr it’s the women who sustain their communities though the men are more visible on the streets he pasted up the portraits in public spaces in the slums and elsewhere – on the walls of churches and mosques on buses and trains on the floor of an empty swimming pool in the nairobi slum of kibera he affixed sheets of vinyl printed with photographs of womens eyes to the roofs of dozens of houses instantly waterproofing them

inside out 2011present
jr also won fame for inside out an international art project which he announced during his ted prize acceptance in march 2011 he invited members of the public to upload photographic selfportraits which he then printed out and sent back so they could be pasted up locally over the past decade more than 400000 people in more than 138 countries have taken part in the project

livestream artist talk jr february 2022 groninger museum
on 16 february jr visited the groninger museum for the artist talk the french artist who is now showing jr chronicles talked to nadia moussaid about his exhibition jr chronicles about his artistry and why he always wears a hat and dark glasses

new graffiti and graffiti from the collection
new york
in the 1980s under then director frans haks the groninger museum was one of the first museums in the world to recognise graffiti and street art as legitimate art forms and to begin collecting them alongside jr chronicles two of the permanent collection galleries will be showcasing work by leading artists from the new york scene including noc 167 dondi blade quik and phase 2 the museum will also spotlight groningen’s own graffiti art in photographs and films from the early days the show is curated by stichting kladmuur led by aileen middel aka the graffiti artist mick la rock and hugo engwerda mick la rock and od crew are creating two new works for the exhibition

groningen
like jr the groninger museum sometimes works outside its own walls and it will involve the city and region in a largescale participatory art project the museum will work together with cultural institutions and local residents to create photography street art and graffiti events jr’s inside out featuring portraits of local people will be an important part of the project",2021.11-2022.6
